date,connectedAt,disconnectedAt,spentTimeSeconds,connectionId,sessionId,path,browser,os,os_version,device_type,device_model,country,city,ip,user_agent
2026-01-09,2026-01-09T07:59:43.863+00:00,,,W6FJPf3njoECEkw=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T07:59:47.623+00:00,,,W6FKDdOxDoECEwA=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T07:59:48.216+00:00,4.353,W6FJPf3njoECEkw=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:00:23.439+00:00,35.816,W6FKDdOxDoECEwA=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:00:25.582+00:00,,,W6FP5eCxjoECJrA=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:00:28.325+00:00,,,W6FQbe1ojoECGRQ=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:00:30.230+00:00,4.648,W6FP5eCxjoECJrA=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:00:30.974+00:00,2.649,W6FQbe1ojoECGRQ=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,2026-01-09T08:00:47.513+00:00,,,W6FTWfS_DoECI7Q=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
2026-01-09,,2026-01-09T08:00:50.219+00:00,2.706,W6FTWfS_DoECI7Q=,web_01KEGSCV81KFPASM48KBND0W7R,/,Chrome,OS X,,desktop,Macintosh,tr,,"159.146.67.95, 52.49.233.136","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
