date;session_start_time;session_end_time;duration_seconds;counted_in_total;algorithm_segment;threshold_seconds;method2_session_order;source;event_count;start_event_id;end_event_id;start_action;end_action;session_id;connection_id;username;user_id;stoys_id;path;browser;os;os_version;device_model;country;city;ip;user_agent;brand;branch;user_type;school_name;grade;class_name
9.01.2026;2026-01-09T07:59:43.863000Z;2026-01-09T07:59:48.216000Z;4;TRUE;post_switch_connect_disconnect;300;1;events;2;6960b56f00d31d2abb0daae3;6960b5745a9359f7fe0764b4;Connect;Disconnect;web_01KEGSCV81KFPASM48KBND0W7R;W6FJPf3njoECEkw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T07:59:47.623000Z;2026-01-09T08:00:23.439000Z;35;TRUE;post_switch_connect_disconnect;300;2;events;2;6960b573f628a894d30f9a91;6960b597f50a13486f0f6e10;Connect;Disconnect;web_01KEGSCV81KFPASM48KBND0W7R;W6FKDdOxDoECEwA=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:00:25.582000Z;2026-01-09T08:00:30.230000Z;4;TRUE;post_switch_connect_disconnect;300;3;events;2;6960b599969bab85890c3a46;6960b59ed7f3bd4b1b0cddb5;Connect;Disconnect;web_01KEGSCV81KFPASM48KBND0W7R;W6FP5eCxjoECJrA=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:00:28.325000Z;2026-01-09T08:00:30.974000Z;2;TRUE;post_switch_connect_disconnect;300;4;events;2;6960b59c7c11140894006475;6960b59e97de95689002ef46;Connect;Disconnect;web_01KEGSCV81KFPASM48KBND0W7R;W6FQbe1ojoECGRQ=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:00:47.513000Z;2026-01-09T08:00:50.219000Z;2;TRUE;post_switch_connect_disconnect;300;5;events;2;6960b5afab8d3350ff04c9d8;6960b5b2dec7642a8b0c5637;Connect;Disconnect;web_01KEGSCV81KFPASM48KBND0W7R;W6FTWfS_DoECI7Q=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:01:21.373000Z;2026-01-09T08:01:36.339000Z;14;TRUE;post_switch_connect_disconnect;300;6;events;2;6960b5d106096e6d4a089b28;6960b5e06eefccff7e054347;Connect;Disconnect;web_01KEGSCV81KFPASM48KBND0W7R;W6FYtfdgjoECEJw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:04:22.176000Z;2026-01-09T08:04:27.930000Z;5;TRUE;post_switch_connect_disconnect;300;7;events;2;6960b686c7f763c4b7085036;6960b68ba2d252ee010b6686;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6F08cL3joEAcWg=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:04:35.194000Z;2026-01-09T08:04:38.623000Z;3;TRUE;post_switch_connect_disconnect;300;8;events;2;6960b6935a09f772d301f356;6960b69625a07694c107dbe8;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6F2sd3hjoECFcQ=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:05:29.320000Z;2026-01-09T08:05:31.817000Z;2;TRUE;post_switch_connect_disconnect;300;9;events;2;6960b6c96f1005f5dc0be7cb;6960b6cb274e28d7cc0c5c9b;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6F_devIjoECG_Q=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:21:12.379000Z;2026-01-09T08:21:15.057000Z;2;TRUE;post_switch_connect_disconnect;300;10;events;2;6960ba78ff467d85580b7f83;6960ba7bf6615e9ccb0e8144;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6ISpeS7DoECEqg=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:21:16.123000Z;2026-01-09T08:21:18.589000Z;2;TRUE;post_switch_connect_disconnect;300;11;events;2;6960ba7cf628a894d30f9ae3;6960ba7edd8458066602e256;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6ITWfmQjoECJZw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T08:21:35.507000Z;2026-01-09T08:21:37.862000Z;2;TRUE;post_switch_connect_disconnect;300;12;events;2;6960ba8f7c7664b6050f0034;6960ba919f2166b5c001f5a5;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6IWSdBqDoECEtQ=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T10:16:29.916000Z;2026-01-09T10:16:32.579000Z;2;TRUE;post_switch_connect_disconnect;300;13;events;2;6960d57df753e4d6c60a7dbf;6960d5804a895e92ac0a5171;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6ZLrcGLjoECF0A=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T12:55:20.933000Z;2026-01-09T12:55:24.367000Z;3;TRUE;post_switch_connect_disconnect;300;14;events;2;6960fab8bb1af95902072217;6960fabc8a18765c880c7185;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6wczdgQjoECGPw=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T13:07:07.385000Z;2026-01-09T13:07:12.630000Z;5;TRUE;post_switch_connect_disconnect;300;15;events;2;6960fd7b34caf6e50e09ceb1;6960fd80ac35914df40543e1;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6yLGfZiDoECFkg=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T13:13:59.830000Z;2026-01-09T13:14:04.191000Z;4;TRUE;post_switch_connect_disconnect;300;16;events;2;6960ff1772e3970d1507f911;6960ff1cdcdd1b217a0b5022;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W6zLOfC4joECElQ=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T13:24:25.835000Z;2026-01-09T13:24:28.646000Z;2;TRUE;post_switch_connect_disconnect;300;17;events;2;6961018976546e891908d45a;6961018c22a4394a390fbe94;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W60tgdxjDoECF9w=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
9.01.2026;2026-01-09T13:55:20.858000Z;2026-01-09T13:55:24.465000Z;3;TRUE;post_switch_connect_disconnect;300;18;events;2;696108c832c39ef40806dfe0;696108ccbc1c6e4f1a0fb730;Connect;Disconnect;web_01KEGWBHWT7XQ3YYZ1E9YWEFA5;W65PSfAkjoECG_Q=;firat.yuksel5;1361882;2452814;/;Chrome;OS X;;Macintosh;tr;;159.146.67.95, 52.49.233.136;Mozilla/5.0 (Macintosh;;;;;;
