uid;username;user_spend_time;60 saniye;300 saniye;600 saniye;Socket ile 60;Socket ile 300;Socket ile 600;role
1361882;firat.yuksel5;0;507;928;928;523;523;523;ROLE_GUARDIAN
1361885;seda.akbalik.dogmus;135;0;0;0;0;0;0;ROLE_GUARDIAN
1361918;raksan.koban.yaman;138;79;79;384;79;79;384;ROLE_GUARDIAN
1361989;fatemeh.arbooni;770;252;1037;1037;705;1038;1038;ROLE_GUARDIAN
1361990;neslihan.dogu2;0;0;0;0;0;0;0;ROLE_GUARDIAN
1361992;gokhan.zengin7;346;297;365;365;359;359;359;ROLE_GUARDIAN
1361994;yelizturna;468;34;34;34;34;34;34;ROLE_MANAGER
1362058;hasan.celik93;0;0;0;0;0;0;0;ROLE_GUARDIAN
1362152;tugce.kutsal;360;486;486;486;486;486;486;ROLE_MANAGER
1362197;burcu.belek;1402;163;269;269;163;269;269;ROLE_GUARDIAN
1362230;bolumbaskani.demo;300;0;0;0;0;0;0;ROLE_GENERAL_MANAGER
1362263;abdulvahap.isik4;110;0;0;0;0;0;0;ROLE_GENERAL_MANAGER
1362266;dogan;397;178;178;178;178;178;178;ROLE_GENERAL_MANAGER
1362271;senem.ertun;5879;4120;5258;5258;4809;5635;5635;ROLE_GENERAL_MANAGER
1362273;huruoner;18568;5292;11880;12308;8262;12354;12782;ROLE_GENERAL_MANAGER
1362274;taner.kayis;2311;74;74;74;74;74;74;ROLE_GENERAL_MANAGER
1362277;talar.donikoglu4;12302;874;2530;2530;2429;2537;2537;ROLE_GENERAL_MANAGER
1362278;seda.ercan11;2512;0;0;0;0;0;0;ROLE_GENERAL_MANAGER
1362279;elifnisa.dincsahin;4;0;0;0;0;0;0;ROLE_GENERAL_MANAGER
1362280;edayagmur.aydin;8482;2582;6062;7646;5326;6659;7858;ROLE_GENERAL_MANAGER
1362283;zahidesenem.goktas;1066;53;504;839;763;839;839;ROLE_GENERAL_MANAGER
1362284;burakrasit.ocak;285;0;0;0;0;0;0;ROLE_GENERAL_MANAGER
1362285;cms.senem.ertun;26;0;0;0;0;0;0;ROLE_GENERAL_MANAGER
1362294;tugba.dogac;99107;25674;49919;71032;80129;93560;109890;ROLE_GENERAL_MANAGER
1362295;busraaltuntas;564;13;232;232;13;232;232;ROLE_GENERAL_MANAGER
1362312;sevtap.engin4;19689;801;2978;4504;1904;3830;4570;ROLE_GENERAL_MANAGER
1362358;sibel.durak6;3099;13;13;13;13;13;13;ROLE_GENERAL_MANAGER
1362363;timur.yavas;14144;693;983;1340;1063;1063;1420;ROLE_GENERAL_MANAGER
1362364;eydilyvz;3352;91;451;451;91;451;451;ROLE_GENERAL_MANAGER
1362365;ferda.gencel;13361;1515;7175;8526;3952;7240;8591;ROLE_GENERAL_MANAGER
1362367;yasemin.arayan;11462;1871;3751;5155;2426;3938;5342;ROLE_GENERAL_MANAGER
1362369;deniz.karaslan3;272;58;251;251;58;251;251;ROLE_GENERAL_MANAGER
1362372;goksenakyol;6837;417;2399;2705;1839;2536;2842;ROLE_GENERAL_MANAGER
1362374;volkan.ulutas;43;50;50;50;50;50;50;ROLE_GENERAL_MANAGER
1362379;goncabulutsuz;9221;486;761;761;486;761;761;ROLE_GENERAL_MANAGER
1362381;aysinzeynep.unsal;1522;12;12;543;12;12;543;ROLE_GENERAL_MANAGER
1362395;fatihyoruk;28799;1135;3628;5360;3464;4646;5625;ROLE_GENERAL_MANAGER
1362402;ozgeaslan2;535;0;0;0;0;0;0;ROLE_GENERAL_MANAGER
1362406;emre.eris;10120;428;1432;1432;1009;1467;1467;ROLE_GENERAL_MANAGER
1362407;zafer.askin;792;137;526;836;1061;1061;1061;ROLE_GENERAL_MANAGER
1362408;ozgur.aytekin4;10827;2592;3230;4184;3311;3754;4230;ROLE_GENERAL_MANAGER
1362410;tulayugurludural;15987;1303;7868;9249;4725;8903;9251;ROLE_GENERAL_MANAGER
1362411;damla.korkut.sinanoglu;710;328;654;654;328;654;654;ROLE_MANAGER
1362415;canan.mutlu1;8589;1779;6380;11215;3015;5868;8451;ROLE_MANAGER
1362416;bkit.ferhat.cal;139;154;154;154;154;154;154;ROLE_MANAGER
1362417;cuneyt.dostoglu4;8600;380;699;1684;380;699;1684;ROLE_MANAGER
1362418;elifozkan1;1384;187;1388;2993;668;1396;2310;ROLE_MANAGER
1362419;gulsen.guvenc1;2095;399;1718;2169;942;1724;2175;ROLE_MANAGER
1362421;bkozlem.akturk;2579;724;2862;2862;2081;2681;2681;ROLE_MANAGER
1362422;busra.dinc15;57760;1001;2080;4081;1283;2073;4074;ROLE_MANAGER
1362423;bk.gokcen;458;120;520;520;120;520;520;ROLE_MANAGER
1362424;birsen.erturk5;2913;771;3431;3741;2149;3581;3891;ROLE_MANAGER
1362425;yucel.yavuz1;500;464;1675;2592;464;1675;2592;ROLE_MANAGER
1362429;10banu10;5167;406;1937;3053;406;1937;3053;ROLE_MANAGER
1362432;sebnem.citli1;371;268;829;829;410;410;410;ROLE_MANAGER
1362441;aysenurbakmaz37;1965;118;638;638;202;521;521;ROLE_MANAGER
1362442;emelsalci;306;164;407;407;164;407;407;ROLE_MANAGER
1362449;burcak.ongu;378;32;115;115;32;115;115;ROLE_MANAGER
1362458;ahmet.catal;22;27;27;27;27;27;27;ROLE_MANAGER
1362459;arzu.yildirim;20;32;32;32;34;34;34;ROLE_MANAGER
1362460;cigdemvarlibas;7907;273;782;1932;432;780;1930;ROLE_MANAGER
1362462;sametdurmaz;1589;509;1019;1019;739;1051;1051;ROLE_MANAGER
1362464;pelin.gunes;661;255;756;1103;844;844;844;ROLE_MANAGER
1362468;kadir.bastas7;138;20;105;105;20;105;105;ROLE_MANAGER
1362474;yunus.arslanlar;9623;391;3373;5489;562;3370;5486;ROLE_MANAGER
1362476;gizemonel;1643;167;737;737;153;723;723;ROLE_MANAGER
1362480;tubakevserarda;1584;156;274;689;156;274;689;ROLE_MANAGER
1362481;sema.sonmezler.yilma3;2283;567;1355;1870;567;1355;1870;ROLE_MANAGER
1362487;simal.celepci48;459;398;895;895;398;895;895;ROLE_MANAGER
1362494;mesutcaglar;2794;1273;2740;5564;1849;2930;4881;ROLE_MANAGER
1362496;aysel.cavusperperek1;122;157;764;764;157;764;764;ROLE_MANAGER
1362497;ilknur.guleryuz1;1679;440;1302;1302;440;1302;1302;ROLE_MANAGER
1362498;hudaliosman;112;314;897;1743;1554;1941;2787;ROLE_MANAGER
1362501;derya.tortop;232;154;284;284;154;284;284;ROLE_MANAGER
1362503;filiz.buyukbas08;3303;327;777;1091;327;777;1091;ROLE_MANAGER
1362505;mdry.esra.yimsel;4087;449;1010;1010;449;1010;1010;ROLE_MANAGER
1362508;oya.oguz5;9623;324;921;1244;406;1003;1326;ROLE_MANAGER
1362510;mahir.arslan1;9322;650;2187;4210;961;2187;3114;ROLE_MANAGER
1362514;my.osman.coban;4339;1313;3356;3755;1622;3356;3755;ROLE_MANAGER
1362516;my.senol.konakci;2846;417;700;1176;417;700;1176;ROLE_MANAGER
1362520;my.sinem.canuygur;664;56;421;421;56;421;421;ROLE_MANAGER
1362528;suleguzin.guven;3879;482;3052;5081;542;3051;5080;ROLE_MANAGER
1362529;ebrucinaz;9909;676;2110;2810;717;2151;2851;ROLE_MANAGER
1362530;serpil.kaya41;977;271;1022;2353;271;1022;2353;ROLE_MANAGER
1362534;elif.carman3;13181;1144;4082;4707;1181;4119;4744;ROLE_MANAGER
1362535;feyzullah.kepekci3;909;248;402;402;248;402;402;ROLE_MANAGER
1362536;fatma.alev.coskun3;2395;375;1948;2301;1583;2292;2292;ROLE_MANAGER
1362547;birsen.akpinar1;2145;238;984;1774;697;1286;1771;ROLE_MANAGER
1362549;sevim.ozmenm;5021;464;2273;3007;634;2277;3011;ROLE_MANAGER
1362550;ilknur.yildiz01;3404;663;2178;3835;688;2203;3860;ROLE_MANAGER
1362552;cevat.bikic5;48059;180;404;874;180;404;874;ROLE_MANAGER
1362554;elifguzey;5200;374;1006;1330;374;1006;1330;ROLE_MANAGER
1362555;tugba.akdeniz1;207;219;883;883;219;883;883;ROLE_MANAGER
1362556;hulya.kosgell;4200;60;60;576;60;60;576;ROLE_MANAGER
1362559;gokce.hocaoglu6;2796;287;816;816;287;816;816;ROLE_MANAGER
1362560;zb.pemra.belevi2;574;54;208;639;99;253;684;ROLE_MANAGER
1362562;nursel.orak1;2738;53;660;1365;343;651;1356;ROLE_MANAGER
1362565;ozge.hasdemir2;1319;228;818;1698;228;818;1698;ROLE_MANAGER
